Rank	Name	City	Country	Continent	Start	End	Party	Visual	Cultural	Tourism	Avg Pulse	Event Types	Best For	Description
223	Victory Day Grand Harbour Regatta	Senglea	Malta	Europe	2026-09-08	2026-09-08	3	5	4	3	3.75	civic_national_holiday, historical, cultural_heritage	Photography, Traditional heritage, Cultural immersion	Victory Day (Maltese: Jum il-Vitorja) is a public holiday celebrated in Malta on 8 September and recalls the end of three historical sieges made on the Maltese archipelago – the Great Siege of Malta by the Ottoman Empire ending in 1565; the Siege of Valletta by the French Blockade ending in 1800; and the Siege of Malta during the Second World War by the Axis forces ending in 1943. The day also coincides with the commemoration of the birth of the Virgin Mary, better known as the Nativity of Mary, which is celebrated in the villages of Senglea, Naxxar and Mellieħa on the island of Malta, and Xagħra in Gozo; and the death of Queen Elizabeth II, the last colonial-era Maltese head of state. It is locally known as il-Vitorja (the Victory), il-Bambina (the Baby), and Otto Settembre (Italian for "8 September"). The traditional regatta featuring boat races in the Grand Harbour is held on Victory Day.
224	Wacken Open Air	Wacken	Germany	Europe	2026-07-29	2026-07-31	5	5	2	3	3.75	music	Music lovers, Adrenaline seekers, Group trips	Wacken Open Air (, abbreviated as W:O:A) is a heavy metal music festival, held yearly since 1990 on the first weekend of August in the village of Wacken in Schleswig-Holstein, Germany. It is often called the world's biggest and most renowned metal festival, or the "Mecca of heavy metal". The four-day event involves around 200 bands, is attended by around 85,000 metalheads from more than 80 countries, and takes place on a 240-hectare site including campgrounds. Wacken has two main stages and several smaller stages, as well as areas with stalls, beer tents and entertainment; including a medieval-themed 'Wackinger' village and apocalyptic-themed 'Wasteland'. Wacken Open Air has long focused on traditional heavy metal and extreme metal genres such as power metal, speed metal, thrash metal, death metal, black metal, doom metal, industrial, symphonic and folk metal.…
225	Walpurgisnacht Harz	Thale	Germany	Europe	2026-04-30	2026-05-01	4	5	4	3	4	seasonal, cultural_heritage	Traditional heritage, Photography, Nightlife	Walpurgis Night (), an abbreviation of Saint Walpurgis Night (from the German Sankt-Walpurgisnacht [zaŋkt valˈpʊʁɡɪsˌnaxt]), also known as Saint Walpurga's Eve (alternatively spelled Saint Walburga's Eve) and Walpurgisnacht, is the eve of the Christian feast day of Saint Walpurga, an 8th-century abbess in Francia, and is celebrated on the night of 30 April and the day of 1 May. This feast commemorates the canonization of Saint Walpurga and the movement of her relics to Eichstätt, both of which occurred on 1 May 870. Saint Walpurga was hailed by the Christians of Germany for battling "pest, rabies, and whooping cough, as well as against witchcraft". Christians prayed to God through the intercession of Saint Walpurga in order to protect themselves from witchcraft, as Saint Walpurga was successful in converting the local populace to Christianity.…
226	Wife Carrying Championships	Sonkajarvi	Finland	Europe	2026-07-03	2026-07-04	5	3	2	3	3.25	seasonal	Adrenaline seekers, Summer travel, Group trips	Wife carrying (Finnish: eukonkanto or akankanto) is a contest in which competitors race while each carrying a partner. Whilst most teams consist of a man carrying a woman there are generally no rules about gender or marital status. The objective is for the runner to carry their team-mate through a special obstacle track in the fastest time. The sport was first introduced in 1992 in Sonkajärvi, Finland. Several types of carrying may be practised: either a classic piggyback, a fireman's carry (over the shoulder), or Estonian-style ("wife" upside-down on his back with their legs over the neck and shoulders).
227	Yosakoi Festival	Kochi	Japan	Asia	2026-08-09	2026-08-12	5	5	4	3	4.25	music, cultural_heritage	Cultural immersion, Music lovers, Photography	Yosakoi in Kochi is the parent festival of the dance form that has since spread across Japan. Around 20,000 dancers in elaborate costumes perform choreographed routines through the city streets and in ten designated stages, wielding naruko (wooden clappers). Each team of up to 150 dancers creates its own costume, music mix, and routine — judged on creativity and energy. The atmosphere is electric and the production quality of team costumes rivals major theatrical productions.
228	Zejtun St Gregory Feast	Zejtun	Malta	Europe	2026-07-10	2026-07-14	4	5	4	3	4	religious_spiritual, carnival_parade, cultural_heritage	Traditional heritage, Summer travel, Street celebrations	Pope Gregory I (Latin: Gregorius I; Gregorio I; c. 540 – 12 March 604), commonly known as Saint Gregory the Great (Latin: Sanctus Gregorius Magnus; Italian: San Gregorio Magno), was the 64th Bishop of Rome from 3 September 590 until his death on 12 March 604. A Roman senator's son, and himself the prefect of Rome at 30, Gregory lived in a monastery that he established on his family estate before becoming a papal ambassador and then pope. During his papacy, his administration greatly surpassed that of the emperors Maurice and Theodosius in improving the welfare of the people of Rome. Gregory regained papal authority in Spain and France and sent missionaries to England, including Augustine of Canterbury and Paulinus of York. The realignment of barbarian allegiance to Rome from their Arian Christian alliances shaped medieval Europe. Gregory saw Franks, Lombards, and Visigoths align with Rome in religion.…
229	Zundert Flower Parade	Zundert	Netherlands	Europe	2026-09-06	2026-09-06	2	5	3	3	3.25	seasonal, cultural_heritage	Photography, Art and design, Traditional heritage	A flower parade is a parade in which the floats, vehicles, boats, participants, animals and other things are decorated or covered in flowers. Often there are other elements like marching bands and people in costumes. Flower parades are held in several countries, many of which celebrate the forthcoming of the seasons. The oldest flower parade dates back to the 1800s. The culture of flower and fruit parades in the Netherlands is inscribed with the International Representative List of Intangible Cultural Heritage of Humanity of Unesco.
230	Andong Mask Dance Festival	Andong	South Korea	Asia	2026-09-25	2026-10-04	4	5	5	2	4	cultural_heritage, arts	Cultural immersion, Traditional heritage, Arts and design	The Andong International Mask Dance Festival is Korea's premier showcase of the hahoetal mask dance tradition — satirical masked performances that date to the Joseon Dynasty. Teams from Korea and over 20 countries perform traditional mask dances from their own cultures, creating a genuine world festival of a specific art form. Andong's Hahoe Folk Village (UNESCO-listed) provides the most atmospheric backdrop. The performances use exaggerated masks to satirise aristocracy, clergy, and social hierarchy — subversive humour encoded in performance.
231	Ati-Atihan Festival	Kalibo	Philippines	Asia	2026-01-18	2026-01-18	5	5	4	2	4	cultural_heritage, religious_spiritual	Cultural immersion, Music lovers, Photography	Ati-Atihan in Kalibo, Aklan is the Philippines' most riotous festival and a direct ancestor of Rio-style street carnival. Participants cover their faces and bodies in soot or black paint in homage to the indigenous Ati people, then dance through the streets for days in elaborate costumes to thunderous tribal drumming. The festival honours the Santo Niño (child Jesus) but the African-inspired energy and visual intensity are unlike anything else in the Philippines. Called 'the mother of all Philippine festivals'.
232	Baalbek International Festival	Baalbek	Lebanon	Asia	2026-07-03	2026-08-02	3	5	5	2	3.75	arts, cultural_heritage	Arts and design, Cultural immersion, Traditional heritage	Baalbek International Festival stages classical music, opera, ballet, and world music concerts inside the 2,000-year-old Roman temple complex of Baalbek — the most intact Roman ruins in the Middle East. The Temple of Bacchus serves as backstage; the Great Court of the Temple of Jupiter becomes the main stage. Artists including Fairouz, Ella Fitzgerald, Herbert von Karajan, and Miles Davis have performed here. Check Lebanon travel advisories before planning.
233	Battle of the Oranges	Ivrea	Italy	Europe	2026-02-28	2026-03-02	5	4	4	2	3.75	cultural_heritage, seasonal	Adrenaline seekers, Cultural immersion, Group trips	The Battle of the Oranges in Ivrea, Piedmont is Europe's largest food fight — and one of its oldest. During the three days of carnival, nine teams on foot face down horse-drawn carts carrying 'aranceri' (orange throwers) in a re-enactment of a medieval uprising. Over 500 tonnes of oranges are used. Participation requires joining one of the nine recognised foot teams; wearing a red cap signals non-combat status. Orange juice flows ankle-deep in the streets; the stinging impact of a direct orange hit at speed is not to be underestimated.
234	Carnival of Oruro	Oruro	Bolivia	South America	2026-02-14	2026-02-21	4	5	5	2	4	carnival_parade, cultural_heritage	Traditional heritage, Cultural immersion, Photography	Carnival (known as Shrovetide in certain localities) is a festive season that occurs at the close of the Christian pre-Lenten period, consisting of Quinquagesima or Shrove Sunday, Shrove Monday, and Shrove Tuesday or Mardi Gras. Carnival typically involves public celebrations, including events such as parades, public street parties and other entertainments, combining some elements of a circus. Elaborate costumes and masks allow people to set aside their everyday individuality and experience a heightened sense of social unity. Participants often indulge in excessive consumption of alcohol, meat, and other foods that will be forgone during upcoming Lent. Traditionally, butter, milk, and other animal products were not consumed "excessively", rather, their stock was fully consumed during Shrovetide as to reduce waste.…
235	Chaharshanbe Suri Fire Jumping	Tehran	Iran	Asia	2026-03-17	2026-03-17	5	5	5	2	4.25	cultural_heritage, seasonal, religious_spiritual	Cultural immersion, Adrenaline seekers, Traditional heritage	Chaharshanbe Suri (Red Wednesday) is the fire festival on the last Tuesday night before Persian New Year — one of the most dramatic participatory festivals in the world. Bonfires are lit in streets and parks across Iran; people leap over the flames chanting 'Give me your red colour, take back my pale sickly colour' — asking the fire for health and energy for the coming year. In Tehran, hundreds of simultaneous bonfires are lit in residential streets across the city. Fireworks, firecrackers, and the smell of smoke fill the air.
236	Cooper's Hill Cheese-Rolling	Gloucester	United Kingdom	Europe	2026-05-25	2026-05-25	5	4	3	2	3.5	cultural_heritage, cultural_heritage	Adrenaline seekers, Cultural immersion, Local authenticity	Cooper's Hill Cheese-Rolling is one of Britain's most violent unofficial festivals. A 7–8 pound Double Gloucester cheese is rolled down a near-vertical hill (gradient up to 1:1) and competitors chase it — often tumbling, rolling, and colliding all the way down. St John Ambulance crews wait at the bottom. The winner keeps the cheese; the prize is otherwise entirely the glory. The event is technically unsanctioned and has no official organiser. It has been held for at least 200 years and possibly traces back to pagan spring rituals. Injuries (including serious ones) are annual.
237	Crayfish Parties	Stockholm	Sweden	Europe	2026-08-07	2026-08-15	3	3	3	2	2.75	food_drink, seasonal	Food travel, Summer travel, Local authenticity	A crayfish party (Swedish: kräftskiva [ˈkrɛ̂ftˌɧiːva]) is a traditional summertime eating and drinking celebration in the Nordic countries. The tradition, originating in Sweden, has also spread to Finland via its Swedish-speaking population and Norway. A similar tradition exists in the Baltic countries, in particular in Lithuania and Latvia. Crayfish parties are generally held during August, a tradition that began because the crayfish harvest in Sweden was, for most of the 20th century, legally limited to the late summer. Nowadays, the kräftpremiär date in early August has no legal significance. Customary party accessories are novelty paper hats, paper tablecloths, paper lanterns (often depicting the Man in the Moon), and bibs. Akvavit and other kinds of snaps are served, as well as beer, and traditional drinking songs (snapsvisa) may be sung.…
238	El Colacho	Castrillo de Murcia	Spain	Europe	2026-06-14	2026-06-14	3	3	4	2	3	cultural_heritage, religious_spiritual	Traditional heritage, Family-friendly, Cultural immersion	El Colacho in Castrillo de Murcia is a Corpus Christi-weekend ritual where costumed participants leap over infants laid on mattresses as part of a long-running local tradition. The event combines religious procession elements with tightly managed ceremonial street performance.
239	Festa San Filep Zebbug Gozo	Zebbug	Malta	Europe	2026-06-07	2026-06-14	3	4	5	2	3.5	religious_spiritual, carnival_parade, cultural_heritage	Traditional heritage, Religious significance, Local authenticity	Żebbuġ on Gozo marks the feast of Saint Philip (San Filep) with a traditional village festa: church services, processions, band marches, and fireworks over several days building to the feast. Visit Malta lists the feast on 14 June (confirm the annual programme for band marches and fireworks nights).
240	Fiesta Santa Marta de Ribarteme	As Neves	Spain	Europe	2026-07-29	2026-07-29	2	3	5	2	3	religious_spiritual, cultural_heritage	Religious significance, Traditional heritage, Cultural immersion	We couldn’t match a solid English Wikipedia entry for “Fiesta Santa Marta de Ribarteme” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with As Neves, Spain, around your listed dates—double-check schedules with organizers.
241	Fire Festivals of the Pyrenees	Huesca	Spain	Europe	2026-06-23	2026-06-23	4	5	4	2	3.75	seasonal, cultural_heritage	Summer travel, Traditional heritage, Adrenaline seekers	The Pyrenean midsummer fire festivals mark Saint John season across mountain towns in Spain, Andorra, and France, where torch-bearing descents and communal bonfires are staged as local heritage rituals. Several traditions are recognized under UNESCO intangible heritage listings.
242	Frozen Dead Guy Days	Nederland	United States	North America	2026-03-13	2026-03-15	5	4	3	2	3.5	seasonal, music	Adrenaline seekers, Group trips, Music lovers	Frozen Dead Guy Days in Nederland, Colorado celebrates a frozen Norwegian man (Trygve Bauge's grandfather, Bredo Morstoel) who has been kept in dry ice in a Tuff Shed above the town since 1989, following a deportation order that would have required removal of the body. The festival — held in mid-March at high altitude (8,228 feet) — includes coffin races, a polar plunge, frozen salmon toss, a parade of zombie Norwegians, and multiple music stages. Possibly the only festival in the world founded as an act of civil disobedience in support of a frozen dead person.
243	Hampi Utsav	Hampi	India	Asia	2026-11-06	2026-11-08	3	5	5	2	3.75	cultural_heritage, arts	Photography, Cultural immersion, Traditional heritage	Hampi Utsav (also called Vijaya Utsav) is a three-day festival held among the ruins of Vijayanagara, the 14th-century capital that was once one of the world's largest cities. Classical dance, music, and puppet performances are staged within the ancient stone temples and boulder landscapes. The setting alone — crumbling gopurams, giant boulders, banana plantations, and the Tungabhadra river — makes Hampi one of the most atmospheric festival locations in Asia. A UNESCO World Heritage Site.
244	Ivan Kupala Night	Kyiv	Ukraine	Europe	2026-07-06	2026-07-07	4	4	5	2	3.75	seasonal, religious_spiritual	Summer travel, Traditional heritage, Romantic getaway	Kupala Night (also Kupala's Night or just Kupala; Polish: Noc Kupały, Belarusian: Купа́лле: Kupalle, Russian: Ива́н Купа́ла: Ivan Kupala, Купала: Kupala, Ukrainian: Іван Купала: Ivan Kupala) is one of the major folk holidays in some of the Slavic countries that coincides with the Christian feast of the Nativity of St. John the Baptist and the East Slavic feast of Saint John's Eve. In folk tradition, it was revered as the day of the summer solstice and was originally celebrated on the shortest night of the year, which is on 21-22 or 23-24 of June in Czechia, Poland, Slovakia, Bulgaria (where it is called Enyovden), and was adopted in Ukraine since 2023. Following the Julian calendar, it is celebrated on the night between 6 and 7 July in Belarus, Russia, and parts of Ukraine. The name of the holiday is ultimately derived from the Proto-Slavic word *kǫpati, meaning "to bathe".…
245	Jaanipäev — Tallinn	Tallinn	Estonia	Europe	2026-06-23	2026-06-24	4	4	5	2	3.75	seasonal, cultural_heritage, religious_spiritual	Bonfire nights, Nordic midsummer, Traditional songs	We couldn’t match a solid English Wikipedia entry for “Jaanipäev — Tallinn” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Tallinn, Estonia, around your listed dates—double-check schedules with organizers.
246	Jerash Festival for Culture and Arts	Jerash	Jordan	Asia	2026-07-26	2026-08-10	3	4	5	2	3.5	arts, cultural_heritage	Cultural immersion, Arts and design, Cultural immersion	The Jerash Festival stages cultural performances inside the best-preserved Roman city outside Italy. The South Theatre (seating 3,000) and the Oval Plaza host concerts, dance, and theatre from Jordan and across the Arab world. The combination of Roman colonnades, Ottoman-era structures, and contemporary Arabic performance makes Jerash one of the most layered festival settings in the world. Jordan's relative stability makes it the most accessible Middle Eastern festival on this list.
247	King Abdulaziz Camel Festival	Riyadh	Saudi Arabia	Asia	2026-01-04	2026-01-31	3	5	4	2	3.5	cultural_heritage, seasonal	Photography, Cultural immersion, Traditional heritage	The King Abdulaziz Camel Festival near Riyadh is the world's largest camel festival — a month-long event with over 30,000 camels and prizes totalling $57 million USD. The beauty contests judge camel lip size, neck length, and coat quality — and in 2018 Saudi authorities disqualified over 40 camels whose owners had injected Botox to enhance their features, which remains one of the best festival news stories of the decade. The festival includes camel races, camel milk competitions, poetry, and a vast cultural market of traditional Saudi crafts.
248	Kukeri Festival — Pernik	Pernik	Bulgaria	Europe	2026-01-24	2026-01-26	3	5	5	2	3.75	cultural_heritage, historical	Folk traditions, Mask culture, Authentic rituals	Kukeri (Bulgarian: кукери; singular: kuker, кукер) are elaborately costumed Bulgarian men, who perform traditional rituals intended to scare away evil spirits. Closely related traditions are found throughout the Balkans and Greece (including Romania and the Pontus). The costumes cover most of the body and include decorated wooden masks of animals (sometimes double-faced) and large bells attached to the belt. Around New Year and before Lent, the Kukeri walk and dance through villages to scare away evil spirits with their costumes and the sound of their bells. They are also believed to provide a good harvest, health, and happiness to the village for the year ahead. The Kukeri traditionally visit people's houses at night so that "the sun would not catch them on the road." After parading around the village, they usually gather at the village square to dance wildly and amuse the people.…
249	Losar Tibetan New Year	McLeod Ganj	India	Asia	2026-02-28	2026-03-02	3	4	5	2	3.5	religious_spiritual, cultural_heritage	Cultural immersion, Traditional heritage, Religious significance	Losar (Tibetan New Year) in McLeod Ganj (Dharamsala) — the seat of the Tibetan government-in-exile and home of the Dalai Lama — is the most accessible Tibetan New Year celebration outside Tibet. The Namgyal Monastery at the Dalai Lama's temple complex hosts elaborate ceremonies; traditional thangka scroll paintings are displayed; monasteries whitewash their walls and prepare elaborate torma (ritual dough sculptures). The exile Tibetan community's celebration of Losar has an undercurrent of cultural preservation that makes it particularly moving.
250	Malanka Festival Chernivtsi	Chernivtsi	Ukraine	Europe	2026-01-13	2026-01-14	4	5	5	2	4	seasonal, cultural_heritage	Traditional heritage, Winter travel, Cultural immersion	Malanka (Маланка, or Ukrainian: Щедрий вечір, romanized: Shchedryi Vechir, lit. 'bounteous evening') is a Ukrainian folk holiday celebrated on 31 December, which is New Year's Eve in accordance with the Gregorian calendar. Formerly it was celebrated on 13 January corresponding to 31 December in the Julian calendar (see Old New Year). The festivities were historically centred around house-to-house visiting by groups of young men, costumed as characters from a folk tale of pre-Christian origin, as well as special food and drink. The context of the rituals has changed, but some elements continue to the present.
251	Mevlana Ceremony Konya	Konya	Turkey	Asia	2026-12-07	2026-12-17	2	5	5	2	3.5	religious_spiritual, cultural_heritage	Cultural immersion, Religious significance, Traditional heritage	The Mevlana Commemoration Week in Konya marks the death anniversary of Rumi (Jalal ad-Din Muhammad Rumi) — the 13th-century Sufi poet. The Sema ceremony performed by the Whirling Dervishes (Mevlevi Order) in Konya's Mevlana Cultural Centre is the most authentic public performance of this UNESCO Intangible Heritage practice: white-robed semazen spin continuously in a specific pattern for 45 minutes as a form of active meditation and prayer. The ceremony is genuinely religious, not a performance for tourists.
252	Moros y Cristianos Alcoy	Alcoy	Spain	Europe	2026-04-22	2026-04-24	4	5	5	2	4	historical, carnival_parade, cultural_heritage	Traditional heritage, Photography, Cultural immersion	The Moors and Christians of Alcoy (in Valencian Moros i Cristians d'Alcoi, in Spanish Moros y Cristianos de Alcoy) is a popular festival which takes place in the city of Alcoy in the Spanish Province of Alicante, including the representation of a historic conflict between Muslims and Christians.
253	Naadam Festival	Ulaanbaatar	Mongolia	Asia	2026-07-11	2026-07-15	4	5	5	2	4	cultural_heritage, cultural_heritage	Cultural immersion, Traditional heritage, Photography	Naadam is Mongolia's national festival — a three-day celebration of the three 'manly sports': wrestling, archery, and horse racing. The horse racing takes place 40km outside the city, with child jockeys (ages 5–13) riding for up to 30km across open steppe; the wrestlers compete in the National Stadium in elaborate ceremonial costumes. The combination of thundering horses, half-dressed wrestlers performing ritual moves, and archery in traditional del robes makes Naadam a window into a civilisation that has changed surprisingly little since the time of Genghis Khan. UNESCO Intangible Cultural Heritage.
254	Nada no Kenka Matsuri	Himeji	Japan	Asia	2026-10-14	2026-10-15	5	5	5	2	4.25	cultural_heritage, religious_spiritual	Cultural immersion, Adrenaline seekers, Photography	Nada no Kenka Matsuri (Fighting Festival) is one of Japan's most ferociously physical festivals. Three portable shrines (mikoshi) are deliberately crashed into each other repeatedly until one is destroyed, while teams of hundreds of men in traditional dress compete to control enormous decorative floats (yatai). The violence is ritual but real — the goal is to create chaos as an offering to the gods. Held at Matsubara Shrine in Himeji, it has been running for over 360 years.
255	Naga Fireballs Festival	Nong Khai	Thailand	Asia	2026-10-22	2026-10-22	3	5	5	2	3.75	cultural_heritage, religious_spiritual	Photography, Cultural immersion, Local authenticity	On the last night of Buddhist Lent (Ok Phansa), hundreds of glowing orbs rise silently from the Mekong River at Nong Khai — the Naga Fireballs (Bung Fai Phaya Nark). The phenomenon has been documented for centuries and is attributed by locals to the Naga (mythical serpent king) breathing fire from the river bottom. Crowds of Thais and a small number of foreign visitors line the riverbank to watch the fireballs rise and dissolve in the night air. The scientific explanation is debated; the experience is undeniable.
256	Navruz in Samarkand	Samarkand	Uzbekistan	Asia	2026-03-21	2026-03-21	4	4	5	2	3.75	cultural_heritage, seasonal	Cultural immersion, Traditional heritage, Food travel	Navruz (Persian New Year) on March 21 is the most important holiday across Central Asia and Iran — a pre-Islamic spring festival that predates Islam by over 3,000 years. Samarkand's version, held amid the extraordinary Timurid architecture of Registan Square, is the most visually spectacular. Sumalak (a wheat-germ pudding) is prepared communally over several days, traditional games (including ulak tartysh, a polo-like game with a headless goat carcass) are played, and music, dance, and enormous communal feasts fill the streets.
257	Nowruz in Isfahan	Isfahan	Iran	Asia	2026-03-20	2026-04-03	3	4	5	2	3.5	cultural_heritage, seasonal	Cultural immersion, Traditional heritage, Arts and design	Isfahan's Nowruz is the most architecturally spectacular setting for the Persian New Year — the city's Naqsh-e Jahan Square (the second-largest public square in the world after Tiananmen) is flanked by the Imam Mosque, Ali Qapu Palace, and Sheikh Lotfollah Mosque, all covered in 17th-century Safavid tile work of breathtaking intricacy. During Nowruz, the square fills with families picnicking, horse-drawn carriages circling, and the enormous fire-jumping (Chaharshanbe Suri) bonfires lit in the streets of the old city the evening before the new year.
258	Nyepi (Day of Silence)	Ubud	Indonesia	Asia	2026-03-19	2026-03-19	1	4	5	2	3	religious_spiritual, cultural_heritage	Cultural immersion, Traditional heritage, Local authenticity	Nyepi is the Balinese Hindu New Year — and the only public holiday on earth that requires total silence. For 24 hours, the entire island of Bali shuts down: no lights, no fires, no work, no travel, no noise. The airport closes. Streets are empty. Tourists must remain in their hotels. The day before, enormous papier-mâché demon effigies (ogoh-ogoh) are paraded through every village to drive away evil spirits, then burned. The contrast between the wild ogoh-ogoh procession and the following day of complete stillness is extraordinary.
259	Onbashira Festival	Suwa	Japan	Asia	2028-04-02	2028-05-15	5	5	5	2	4.25	cultural_heritage, religious_spiritual	Adrenaline seekers, Cultural immersion, Traditional heritage	Onbashira (the Honored Pillars) is held every six years at the four Suwa Grand Shrines in Nagano Prefecture. Men ride enormous fir logs — up to 17 metres long and weighing 10 tonnes — down steep mountain slopes in a ritual called Yamadashi. Falls and injuries are common; deaths have occurred and are considered honourable. The logs are then hauled upright to mark the corners of the shrine buildings. Next occurrence: April–May 2028. One of the oldest documented festivals in Japan, traced back 1,200 years.
260	Ouidah Voodoo Festival	Ouidah	Benin	Africa	2026-01-10	2026-01-10	4	4	5	2	3.75	religious_spiritual, cultural_heritage	Cultural immersion, Religious significance, Photography	The Ouidah Voodoo Festival on January 10 is the annual national celebration of Voodoo in Benin — the country where the religion originated before being exported to the Americas through the slave trade. Priests and devotees from across Benin and West Africa gather on Ouidah's beach for ceremonies, animal sacrifices, possession rituals, and the veneration of Voodoo deities (vodun). The Point of No Return — the arch through which enslaved people passed onto ships — is the central monument. Deeply serious and spiritually powerful.
261	Pahiyas Festival	Lucban	Philippines	Asia	2026-05-15	2026-05-15	4	5	4	2	3.75	cultural_heritage, seasonal	Photography, Cultural immersion, Traditional heritage	Pahiyas is the Philippines' most colourful single-day festival — the entire town of Lucban in Quezon Province covers its houses in kiping (translucent coloured rice wafers), vegetables, fruits, and harvested crops in a competition for the most elaborate decoration. Every facade becomes an installation artwork; windows framed in giant kiping flowers, doorways hung with pineapples and papayas. The festival honours San Isidro Labrador (patron of farmers) and takes place on May 15. The narrow streets are packed but entirely walkable.
262	Patum de Berga	Berga	Spain	Europe	2026-06-04	2026-06-07	4	5	5	2	4	religious_spiritual, cultural_heritage, historical	Traditional heritage, Cultural immersion, Photography	The Patum de Berga (Catalan pronunciation: [pəˈtum də ˈβeɾɣə]), or simply La Patum, is a popular and traditional festival that is celebrated each year in the Catalan city of Berga (Barcelona) during Corpus Christi. It consists of a series of "dances" (called Salts) by townspeople carrying mystical and symbolic figures and accompanied either by the rhythm of a drum—the tabal, whose sound gives the festival its name—or band music. The salts are marked by their solemnity and their ample use of fire and pyrotechnics. It was declared a Traditional Festival of National Interest by the Generalitat de Catalunya in 1983. In 2005, UNESCO declared it one of the Masterpieces of the Oral and Intangible Heritage of Humanity and, in 2008, inscribed it on its Representative List.
263	Rose Festival	Kazanlak	Bulgaria	Europe	2026-05-30	2026-06-05	3	5	4	2	3.5	seasonal, cultural_heritage	Summer travel, Photography, Romantic getaway	Rose Festival may refer to: Rose Festival, Bulgaria in Kazanlak and surrounding towns Kutno Rose Festival in Kutno, Poland Portland Rose Festival in Portland, Oregon Rose Festival (Chandigarh) in Chandigarh, India Texas Rose Festival in Tyler, Texas
264	Saint Lucia Festival	Helsinki	Finland	Europe	2026-12-13	2026-12-13	2	5	4	2	3.25	religious_spiritual, seasonal	Winter travel, Cultural immersion, Family-friendly	The Saint Lucia Jazz and Arts Festival is an annual event on the Caribbean island of Saint Lucia that brings together local and international musicians and other performing artists, as well as artisans. The festival presents jazz, R&B, and Calypso music, dance, theatre, and international couture.
265	Sami Easter Festival Kautokeino	Kautokeino	Norway	Europe	2026-04-02	2026-04-06	2	4	5	2	3.25	religious_spiritual, cultural_heritage, seasonal	Cultural immersion, Traditional heritage, Religious significance	We couldn’t match a solid English Wikipedia entry for “Sami Easter Festival Kautokeino” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Kautokeino, Norway, around your listed dates—double-check schedules with organizers.
266	Sami Reindeer Migration Celebrations	Kautokeino	Norway	Europe	2026-04-15	2026-04-25	2	4	5	2	3.25	cultural_heritage, seasonal	Cultural immersion, Local authenticity, Winter travel	Sami reindeer migration celebrations in northern Scandinavia are seasonal cultural gatherings linked to herding cycles, often featuring traditional food, handicrafts, and performances. Exact formats vary by community and year.
267	Sânziene Festival	Bucharest	Romania	Europe	2026-06-24	2026-06-24	3	4	5	2	3.5	seasonal, cultural_heritage	Summer travel, Traditional heritage, Romantic getaway	Sânziană is the Romanian name for gentle fairies who play an important part in local folklore, also used to designate the Galium verum or Cruciata laevipes flowers. Under the plural form Sânziene, the word designates an annual festival in the fairies' honor. Etymologically, the name comes from the Latin Sancta Diana, the Roman goddess of the hunt and moon, also celebrated in Roman Dacia (ancient Romania). Diana was known to be the virgin goddess and looked after virgins and women. She was one of the three maiden goddesses, Diana, Minerva and Vesta, who swore never to marry. People in the western Carpathian Mountains celebrate the Sânziene holiday annually, on June 24. This is similar to the Swedish Midsummer holiday, and is believed to be a pagan celebration of the summer solstice in June.…
268	Sauna Day	Helsinki	Finland	Europe	2026-06-27	2026-06-27	2	2	4	2	2.5	seasonal, cultural_heritage	Local authenticity, Summer travel, Solo travelers	Sauna-themed community events in Finland celebrate sauna culture through public sessions, wellness programming, and social gatherings tied to local organizers. Formats vary by city and season rather than following one single national template.
269	Schaferlauf Markgroningen	Markgroningen	Germany	Europe	2026-07-24	2026-07-26	3	4	5	2	3.5	historical, seasonal, cultural_heritage	Traditional heritage, Family-friendly, Local authenticity	We couldn’t match a solid English Wikipedia entry for “Schaferlauf Markgroningen” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Markgroningen, Germany, around your listed dates—double-check schedules with organizers.
270	Sinjska Alka	Sinj	Croatia	Europe	2026-08-09	2026-08-11	3	4	5	2	3.5	historical, cultural_heritage	Traditional heritage, Adrenaline seekers, Cultural immersion	The Sinjska alka (Croatian pronunciation: [sîːɲskaː âːlka]) is an equestrian competition held in the Croatian town of Sinj. It commemorates a Croatian–Venetian victory in the Ottoman–Venetian war in the night of August 14, 1715, in which around 700 professional Venetian soldiers and 100 locals defended Sinj against an Ottoman army led by Mehmed-paša Ćelić of at least 40,000. Because of this victory, the Venetians retained control over Sinj and integrated it into the Venetian Dalmatia in accordance to the terms of the Treaty of Passarowitz signed in 1718. The people of Sinj believed that the Lady of Sinj miraculously drove away Ottomans, thus helping them to defend their town.…
